,date,text,latitude,longitude,geometry,label,score
18,2013-07-01 17:00:16,,35.46212891,-78.16762942,POINT (-78.16762942 35.46212891),isPolitical,0.9914114475250244
22,2013-07-01 17:00:18,,35.3466734,-80.8089287,POINT (-80.8089287 35.3466734),isPolitical,0.9914114475250244
38,2013-07-01 17:00:28,They need more advisors. If I wont dedicated id leave,35.75181,-78.46056,POINT (-78.46056 35.75181),isPolitical,0.9714685082435608
46,2013-07-01 17:00:42,"Loving this #Hillsong Pandora station while remodeling at @Circa1800. ""I will live, a child in awe of You.""",35.05236628,-78.87809058,POINT (-78.87809058 35.05236628),isPolitical,0.933742880821228
101,2013-07-01 17:01:37,"Truth be told, I'm waving my flag before it goes bad .",35.08588781,-79.43261237,POINT (-79.43261237 35.08588781),isPolitical,0.7532303333282471
111,2013-07-01 17:01:46,"Out-of-control Arizona wildfire kills 19 firefighters, including nearly all of elite Hotshot crew: ",35.035302,-80.850589,POINT (-80.850589 35.035302),isPolitical,0.9998997449874878
204,2013-07-01 17:03:25,We won't hear a word they say. They don't know us anyway.,35.51133724,-82.60873123,POINT (-82.60873123 35.51133724),isPolitical,0.8180662989616394
226,2013-07-01 17:03:48,It'll happen in due time.,36.04872,-79.878839,POINT (-79.878839 36.04872),isPolitical,0.7974792718887329
230,2013-07-01 17:03:58,Bless those brave 19 firefighters who were killed. Truly tragic.,35.66259085,-80.82547499,POINT (-80.82547499 35.66259085),isPolitical,0.9996188879013062
235,2013-07-01 17:04:02,"So this is how I'm going to stop cutting, please RT to help me! ",36.41425467,-80.32675221,POINT (-80.32675221 36.41425467),isPolitical,0.5318884253501892
260,2013-07-01 17:04:32,"Grayson, Forrest, Skylar.",36.0499498,-79.8807356,POINT (-79.8807356 36.0499498),isPolitical,0.6029924750328064
305,2013-07-01 17:05:09,The new degrassi looks retarded.,36.04571443,-78.53149963,POINT (-78.53149963 36.04571443),isPolitical,0.9918909072875977
325,2013-07-01 17:05:37,Celebrating my 3-yr anniversary at @largemouthpr on its 8-yr anniversary! @ Largemouth Communications ,35.87783333,-78.84266667,POINT (-78.84266667 35.87783333),isPolitical,0.9150415062904358
402,2013-07-01 17:07:00,Saw so many potential victims at orientation,35.90565226,-75.59431421,POINT (-75.59431421 35.90565226),isPolitical,0.9526350498199463
482,2013-07-01 17:08:20,Sudsin' it up with my fav @ U.S. National Whitewater Center ,35.27234343,-81.00527644,POINT (-81.00527644 35.27234343),isPolitical,0.9710357785224915
519,2013-07-01 17:08:49,It's July !,35.02336662,-78.98927435,POINT (-78.98927435 35.02336662),isPolitical,0.8214829564094543
588,2013-07-01 17:09:55,,36.01563182,-80.26506118,POINT (-80.26506118 36.01563182),isPolitical,0.9914114475250244
645,2013-07-01 17:11:00,"Timothy  ,",35.7171765,-78.65016572,POINT (-78.65016572 35.7171765),isPolitical,0.9065536856651306
670,2013-07-01 17:11:28,Prayers Go Out To The Families Of Them 19 Firefighters Who Died Yesterday. ?,35.7860313,-81.1995271,POINT (-81.1995271 35.7860313),isPolitical,0.7166329026222229
693,2013-07-01 17:11:54,Parks / Trails ,35.77959824,-78.66362,POINT (-78.66362 35.77959824),isPolitical,0.9479553699493408
729,2013-07-01 17:12:38,,35.34724673,-80.55688737,POINT (-80.55688737 35.34724673),isPolitical,0.9914114475250244
814,2013-07-01 17:13:49,"Yeah, much more transparency there. ""@AP: MORE: Russian news agency says Snowden has asked for asylum there:  -KK""",36.1896414,-79.689216,POINT (-79.689216 36.1896414),isPolitical,0.989582896232605
833,2013-07-01 17:14:04,Good workout this morning with @AimeeGodfrey and @LeahHaire ?,35.49670542,-82.73194086,POINT (-82.73194086 35.49670542),isPolitical,0.7088885307312012
835,2013-07-01 17:14:07,this. ,34.76773598,-77.38069947,POINT (-77.38069947 34.76773598),isPolitical,0.9709817171096802
913,2013-07-01 17:15:25,Our Compass Award of Merit for outstanding #PPC work from #tmsatoday @ Virante Inc ,35.84152569,-78.84979074,POINT (-78.84979074 35.84152569),isPolitical,0.966097354888916
947,2013-07-01 17:15:59,Free agency today. exciting,35.1596544,-80.7406723,POINT (-80.7406723 35.1596544),isPolitical,0.8619263172149658
963,2013-07-01 17:16:15,,35.48303452,-83.31765374,POINT (-83.31765374 35.48303452),isPolitical,0.9914114475250244
964,2013-07-01 17:16:15,Wow,34.76756651,-76.66787388,POINT (-76.66787388 34.76756651),isPolitical,0.953317403793335
976,2013-07-01 17:16:30,,35.48297671,-83.31797789,POINT (-83.31797789 35.48297671),isPolitical,0.9914114475250244
1025,2013-07-01 17:17:16,Final load-in complete. @CMitchellCLT addresses the Color Purple Cast/Crew/Orchestra for the final time. ,35.26869335,-80.86681524,POINT (-80.86681524 35.26869335),isPolitical,0.9962406158447266
1046,2013-07-01 17:17:32,"Nice message from the People's Court welcoming WJZY to Fox, but a bit odd considering WMYT airs it and not WJZY at the moment.",35.40361136,-81.61201847,POINT (-81.61201847 35.40361136),isPolitical,0.9989997744560242
1054,2013-07-01 17:17:40,,35.71560136,-79.76110189,POINT (-79.76110189 35.71560136),isPolitical,0.9914114475250244
1130,2013-07-01 17:18:43,"""@CountryMusic: Our hearts go out to those 19 firefighters and their families who passed away fighting the wildfires in Arizona."" :(",34.8348112,-77.5618784,POINT (-77.5618784 34.8348112),isPolitical,0.9835192561149597
1179,2013-07-01 17:19:30,At this point in his life I think my dad needs all his family around him. So I'm going back back back to cali!,35.25804281,-80.7896641,POINT (-80.7896641 35.25804281),isPolitical,0.8498579859733582
1191,2013-07-01 17:19:39,"Our own Ariel, winner of a $3000 scholarship at the Festival! ",35.2522878,-80.86713632,POINT (-80.86713632 35.2522878),isPolitical,0.97771817445755
1204,2013-07-01 17:19:52,"Love him so much, glad he's back from Texas.",36.34127853,-78.3983489,POINT (-78.3983489 36.34127853),isPolitical,0.8370312452316284
1265,2013-07-01 17:21:06,It warms my heart to see @QU3DAWG and his lbs come together to support marcus...true unity and brotherly love #ThemOmegas,35.2221755,-80.8249653,POINT (-80.8249653 35.2221755),isPolitical,0.963527262210846
1377,2013-07-01 17:22:40,,36.16213147,-79.71123122,POINT (-79.71123122 36.16213147),isPolitical,0.9914114475250244
1406,2013-07-01 17:23:09,"The small things matter, which create a bigger picture.",35.75704219,-78.54853894,POINT (-78.54853894 35.75704219),isPolitical,0.5978214740753174
1414,2013-07-01 17:23:17,"Who wants to come golfing with me, Seamus, and Nicole today?",35.0339027,-80.86221132,POINT (-80.86221132 35.0339027),isPolitical,0.6701018810272217
1462,2013-07-01 17:24:09,Chicago ! Iwanna go !,35.08471708,-80.84967429,POINT (-80.84967429 35.08471708),isPolitical,0.9649337530136108
1511,2013-07-01 17:24:52,The way your intelligence speaks turns me on.,35.75687225,-78.54828305,POINT (-78.54828305 35.75687225),isPolitical,0.9858139157295227
1516,2013-07-01 17:24:57,It's depressing to think about what is happening at frontier ranch,35.39714778,-80.87518651,POINT (-80.87518651 35.39714778),isPolitical,0.9855013489723206
1613,2013-07-01 17:26:36,#standwithtxwomen,35.9179989,-75.7040479,POINT (-75.7040479 35.9179989),isPolitical,0.9625822901725769
1661,2013-07-01 17:27:23,Is there an age limit for Amber Alert's?,35.68609445,-81.22765101,POINT (-81.22765101 35.68609445),isPolitical,0.9617816805839539
1791,2013-07-01 17:29:31,Amen ?@countrysayingss: Everyone should retweet this. ,34.77447785,-77.53977241,POINT (-77.53977241 34.77447785),isPolitical,0.560867190361023
1842,2013-07-01 17:30:28,INSURANCE is just a legal way to rip people off.,34.9838991,-79.3314989,POINT (-79.3314989 34.9838991),isPolitical,0.9973382353782654
1854,2013-07-01 17:30:37,"Everything you ask and pray for, believe that you have received it and it will happen for you - Mark 11:24",35.2541669,-78.6260655,POINT (-78.6260655 35.2541669),isPolitical,0.7491886019706726
1955,2013-07-01 17:32:21,,36.02602223,-80.02195998,POINT (-80.02195998 36.02602223),isPolitical,0.9914114475250244
2021,2013-07-01 17:33:37,,35.84170803,-78.59459801,POINT (-78.59459801 35.84170803),isPolitical,0.9914114475250244
2035,2013-07-01 17:33:57,"And the lightning flashes in her eyes, and he knows that she knows.",34.7037276,-77.40417324,POINT (-77.40417324 34.7037276),isPolitical,0.5169291496276855
2038,2013-07-01 17:33:58,I think student loan interest rates doubled today #EDU bubble 1 trillion outstanding the market is the Gov. who determines the rates. WTF.,36.07730406,-79.82120336,POINT (-79.82120336 36.07730406),isPolitical,0.9984489679336548
2043,2013-07-01 17:34:02,*ACCIDENT: INJURY* - EMS - 1387 SE MAYNARD RD,35.57,-78.547,POINT (-78.547 35.57),isPolitical,0.7928974032402039
2088,2013-07-01 17:34:31,"Humm My Favorite Guys In @Dormtainment  Is Chaz , Mike , and Cam Lol They Are Soo Funny",35.25791168,-81.11533356,POINT (-81.11533356 35.25791168),isPolitical,0.985486626625061
2106,2013-07-01 17:34:48,Yes! ,35.3196774,-80.9733178,POINT (-80.9733178 35.3196774),isPolitical,0.9820975661277771
2110,2013-07-01 17:34:51,You will not be looking at a person be shot and then ask who shot me that is really silly .Please Zimmerman was telling a lie,36.16307853,-80.2974496,POINT (-80.2974496 36.16307853),isPolitical,0.9275524616241455
2138,2013-07-01 17:35:13,,35.21471211,-80.88598213,POINT (-80.88598213 35.21471211),isPolitical,0.9914114475250244
2176,2013-07-01 17:35:45,Great seeing @Crews_TOOSMOOV today. Been way to long.,36.21311698,-78.55714381,POINT (-78.55714381 36.21311698),isPolitical,0.9899200201034546
2185,2013-07-01 17:35:59,,35.0031858,-80.5542968,POINT (-80.5542968 35.0031858),isPolitical,0.9914114475250244
2207,2013-07-01 17:36:19,such a cutie lil' historic nook in DT Raleigh! Blake St. be sure to hit Epona  Oak for local made? ,35.77601369,-78.63577983,POINT (-78.63577983 35.77601369),isPolitical,0.5385769009590149
2232,2013-07-01 17:36:38,"Have a tech article you would like featured on my website, let me know. #Buzzya",35.5372889,-77.3926673,POINT (-77.3926673 35.5372889),isPolitical,0.6349253058433533
2238,2013-07-01 17:36:46,,35.7819461,-78.5445027,POINT (-78.5445027 35.7819461),isPolitical,0.9914114475250244
2374,2013-07-01 17:38:49,This proposal came across the docket. Do you see what I see? ,35.58910858,-82.33943312,POINT (-82.33943312 35.58910858),isPolitical,0.9826400876045227
2404,2013-07-01 17:39:19,Cant wait for this beach trip.,35.7821827,-81.7819364,POINT (-81.7819364 35.7821827),isPolitical,0.5438352227210999
2445,2013-07-01 17:39:52,Sitting in the Duke Children's Hospital.  Kids getting wheeled into the cancer ward is teaching me to never take life for granted again.,36.00795161,-78.93689106,POINT (-78.93689106 36.00795161),isPolitical,0.9011240601539612
2482,2013-07-01 17:40:28,Chilling. ,35.68613867,-81.22815602,POINT (-81.22815602 35.68613867),isPolitical,0.857680082321167
2529,2013-07-01 17:41:22,"Nine times out of ten, the person ""telling"" the story is the hero.",36.02868,-80.28608,POINT (-80.28608 36.02868),isPolitical,0.6064432859420776
2571,2013-07-01 17:42:01,Sanford makes me such a negative person.,35.44471506,-79.12993684,POINT (-79.12993684 35.44471506),isPolitical,0.67484450340271
2614,2013-07-01 17:42:44,I wonder what kind of crazy bullshit they pump into peoples heads at one of these NRA Camps.,36.072917,-79.134444,POINT (-79.134444 36.072917),isPolitical,0.6349194645881653
2685,2013-07-01 17:43:56,How can we hear it without watching the show?,35.48242422,-82.55359333,POINT (-82.55359333 35.48242422),isPolitical,0.6418323516845703
