,date,text,latitude,longitude,geometry,label,score
129,2013-02-16 15:57:13,Weather Alert:SANFORD-LEE COUNTY - Winter Weather Advisory -Read:,35.625556,-78.328611,POINT (-78.328611 35.625556),isPolitical,0.7323317527770996
1013,2013-12-01 18:24:00,"As Dwight said,  there's too many people on this earth. We need a new plague.",34.6022412,-79.0899228,POINT (-79.0899228 34.6022412),isPolitical,0.8468272686004639
1621,2013-12-01 18:48:00,@MasonMagruder that's why we need to privatize roads,35.18737416,-79.43597015,POINT (-79.43597015 35.18737416),isPolitical,0.9305611848831177
2085,2013-11-24 06:02:00,"Weather Alert:CHAPEL HILL, NC - Special Statement -Read:",35.625556,-78.328611,POINT (-78.328611 35.625556),isPolitical,0.5027710199356079
2146,2013-11-24 06:04:00,"If you despise Northern, you are welcome!",36.09907544,-79.44526062,POINT (-79.44526062 36.09907544),isPolitical,0.6671267151832581
2492,2013-11-24 06:16:00,Israel minister: Iran deal based on 'deceit': Israel on Sunday harshly criticized the international community's...,35.22483977,-80.84079342,POINT (-80.84079342 35.22483977),isPolitical,0.7647835612297058
2493,2013-11-24 06:16:00,Key points in Iran nuclear deal with world powers: By The Associated Press Iran struck a historic nuclear deal...,35.22483977,-80.84079342,POINT (-80.84079342 35.22483977),isPolitical,0.9949193596839905
2520,2013-11-24 06:17:00,"Weather Alert:FAYETTEVILLE, NC - Special Statement -Read:",35.625556,-78.328611,POINT (-78.328611 35.625556),isPolitical,0.6989010572433472
2967,2013-11-24 06:32:00,Weather Alert:SANFORD-LEE COUNTY - Special Statement -Read:,35.625556,-78.328611,POINT (-78.328611 35.625556),isPolitical,0.9354429244995117
3283,2013-11-24 06:42:00,@StephanieeAnne_ thank you.,34.6387397,-79.0108743,POINT (-79.0108743 34.6387397),isPolitical,0.6604753732681274
3392,2013-11-24 06:46:00,Uranium enrichment at heart of Iran nuclear deal: By The Associated Press Iran's ability to enrich uranium - at...,35.22483977,-80.84079342,POINT (-80.84079342 35.22483977),isPolitical,0.994523286819458
3394,2013-11-24 06:46:00,Obama: Nuclear deal blocks Iran's path to bomb: Iran struck a historic deal Sunday with the United States and...,35.22483977,-80.84079342,POINT (-80.84079342 35.22483977),isPolitical,0.9967407584190369
3407,2013-11-24 06:47:00,"Weather Alert:FAYETTEVILLE, NC - Special Statement -Read:",35.625556,-78.328611,POINT (-78.328611 35.625556),isPolitical,0.6989010572433472
4698,2013-06-13 01:11:52,People of this great needs to make a stand. The administration lies to us every day . Jay is a payed liar,34.9905265,-79.1656515,POINT (-79.1656515 34.9905265),isPolitical,0.9972176551818848
4841,2013-06-13 01:13:42,obama is bringing this great country down that was he plan from the bringing,34.9905265,-79.1656515,POINT (-79.1656515 34.9905265),isPolitical,0.9973944425582886
5143,2013-06-13 01:18:01,"""@ImmovableHope: Dear Congress in NC your budget must increase teacher pay or you are going to continue to lose good teachers!"" AMEN!!",35.6170975,-78.1487883,POINT (-78.1487883 35.6170975),isPolitical,0.997627317905426
5391,2013-06-13 01:21:33,@sabrienza same here!  Excited for many positive changes that will help us grow as a successful  united cluster!,35.0340993,-80.661574,POINT (-80.661574 35.0340993),isPolitical,0.9973253011703491
5421,2013-06-13 01:22:01,@becwaddell is this a Casey Anthony or Susan smith I hope and pray not either .God protect this child and all children from any abuse,33.89226554,-78.4750947,POINT (-78.4750947 33.89226554),isPolitical,0.6366532444953918
5425,2013-06-13 01:22:02,@HipHmschoolMoms Any homeschool groups for families with one child in NC?,35.9000097,-78.5871492,POINT (-78.5871492 35.9000097),isPolitical,0.5429354310035706
6280,2013-06-13 01:33:22,"Once again, what i sent to the opinion section of El Paso Times was printed on Monday, titled RAISE VOICES",35.21816654,-80.94532313,POINT (-80.94532313 35.21816654),isPolitical,0.89199298620224
6518,2013-06-13 01:36:20,Schewel joins ranks arrested at Raleigh protest: City Councilman Steve Schewel on Wednesday joined a growing l...,35.7719,-78.6389,POINT (-78.6389 35.7719),isPolitical,0.9504033923149109
6533,2013-06-13 01:36:31,@seanhannity @AnnCoulter Congress is killing me!,34.74804486,-77.3967129,POINT (-77.3967129 34.74804486),isPolitical,0.9814772009849548
6880,2013-06-13 01:40:40,I will always love East Tennessee and I'm proud to call this HOME.,35.240491,-80.853835,POINT (-80.853835 35.240491),isPolitical,0.8929303288459778
7188,2013-06-13 01:44:33,Damn shame we have to reimport our own exports just to not have the GMO poisons they're feeding?,35.30263759,-80.98700214,POINT (-80.98700214 35.30263759),isPolitical,0.9968444108963013
7440,2013-06-13 01:47:12,Hearing the news about @JasonLeffler.  Hope he is going to be ok.,35.49091781,-80.6748398,POINT (-80.6748398 35.49091781),isPolitical,0.6299312114715576
8133,2013-06-13 01:55:26,"A reporter who discloses names of illegally-behaving gov't employees is ""a direct attack against Americans"".",35.9397317,-78.9930465,POINT (-78.9930465 35.9397317),isPolitical,0.9979467988014221
8398,2013-06-13 01:59:02,If Gluttony is a sin America is going hell.,35.4139737,-80.6079451,POINT (-80.6079451 35.4139737),isPolitical,0.7979827523231506
8496,2013-11-06 16:01:00,"For more clean energy, remove barriers in policy, finance, innovation. #ncmew2013",35.77362053,-78.64093117,POINT (-78.64093117 35.77362053),isPolitical,0.9960303902626038
8761,2013-11-06 16:14:00,@DavidLimbaugh GOP divide is alive and kicking as was demonstrated in VA governor's race.,34.27459433,-78.53649772,POINT (-78.53649772 34.27459433),isPolitical,0.9973479509353638
8915,2013-11-06 16:22:00,Babies and cats need to come together to fight for their rights.,35.3452644,-80.78975075,POINT (-80.78975075 35.3452644),isPolitical,0.9966316819190979
9518,2013-11-06 16:53:00,WE really need @SharylAttkisson working on OBAMACARE website contracts etc on full time basis  @cspanwj,35.05366655,-80.84753774,POINT (-80.84753774 35.05366655),isPolitical,0.991084098815918
9802,2013-10-23 08:34:51,"In Va. coal country, a deep vein of discontent",34.761281,-77.416753,POINT (-77.416753 34.761281),isPolitical,0.9955874681472778
9828,2013-10-23 08:42:58,I want to hear Joe Biden talk #Obamacare. I have a feeling he will spill the truth,35.7601369,-78.7443033,POINT (-78.7443033 35.7601369),isPolitical,0.9978413581848145
9891,2013-10-23 08:59:40,Whoa! Look what popped up when I went to the #Obamacare website! #obamacareFail,35.7601369,-78.7443033,POINT (-78.7443033 35.7601369),isPolitical,0.9926936626434326
10073,2013-06-05 07:11:08,"The problem with apple right now is how little incentive there is for it's employees. there is a system, granted, but it needs a final cut.",35.90975466,-79.05517394,POINT (-79.05517394 35.90975466),isPolitical,0.8798890709877014
10551,2013-06-05 07:54:47,"""@WiltGidney: White Girls Cant Help But Fein For Us, Nigger Love Is A Stronger Emotion.""",35.7953118,-81.7801092,POINT (-81.7801092 35.7953118),isPolitical,0.9775511622428894
10743,2013-10-05 00:00:44,Continuing this culture-filled night by attending the Appalachian Symphony. @maggie_mills56 @court_boyd @hanngooo #turntup,36.21560971,-81.68408586,POINT (-81.68408586 36.21560971),isPolitical,0.7819943428039551
10882,2013-10-05 00:04:00,"Law enforcement is reporting baseball sized hail near the Nebraska border and Mills County, Iowa.  @weatherchannel @WeatherNationWX",35.36913621,-82.49852109,POINT (-82.49852109 35.36913621),isPolitical,0.9930457472801208
11144,2013-10-05 00:09:43,"I am faithful to a proud heritage , a tradition of honor, and a legacy of valor .",35.60026536,-77.36290438,POINT (-77.36290438 35.60026536),isPolitical,0.9328145384788513
11208,2013-10-05 00:11:08,I will defend my country with my life .,35.60032554,-77.36313879,POINT (-77.36313879 35.60032554),isPolitical,0.9817424416542053
11249,2013-10-05 00:11:59,I really think Obama  dems are trying to provoke civil disobedience,36.0338596,-78.3700991,POINT (-78.3700991 36.0338596),isPolitical,0.9966212511062622
11474,2013-10-05 00:16:38,All 54 senate democrats voted to give themselves special treatment  be exempt from Obamacare  screw everyone else. Outrageous hypocrisy,36.0338596,-78.3700991,POINT (-78.3700991 36.0338596),isPolitical,0.99808669090271
11579,2013-10-05 00:18:58,@adegrezia: going to school out of state sounds better and better each dayyy,35.63001394,-78.75333298,POINT (-78.75333298 35.63001394),isPolitical,0.9763373136520386
11753,2013-10-05 00:22:39,Solution to US #mental illness  problem found! Mentally ill drive to White House to visit President. Capitol Police shoot them in the head.,34.4697822,-77.4713735,POINT (-77.4713735 34.4697822),isPolitical,0.997848629951477
12022,2013-10-05 00:27:56,Obama finds plenty of money to gift mBrotherhood multimillion $fighter jets  Bradley tanks but no $ for  our own vets.  Im beyond disgusted,36.0338592,-78.3700992,POINT (-78.3700992 36.0338592),isPolitical,0.9972789883613586
12348,2013-10-05 00:34:32,"@Mike33Holler True story, Mike. This offseason's motto: ""What luxury tax?""",35.43777131,-82.5296052,POINT (-82.5296052 35.43777131),isPolitical,0.9025385975837708
12553,2013-10-05 00:38:13,@Bumgummer agree with they are both liars Obama personally hasn't done anything to me but his speeches are both scaring older ppl,35.78381146,-77.03829639,POINT (-77.03829639 35.78381146),isPolitical,0.9751337766647339
12963,2013-10-05 00:45:18,@childlikfaith telling her story about sharing the gospel in New Orleans at 2 in the morning. @ Living?,35.9325779,-78.5421638,POINT (-78.5421638 35.9325779),isPolitical,0.9835072755813599
12990,2013-10-05 00:45:49,"All the official citizens of the USA ,we should take buses to Capital Hill walk up those steps get your Congress person and bitch slap",35.20719052,-80.7456907,POINT (-80.7456907 35.20719052),isPolitical,0.9975810050964355
13606,2013-10-05 00:56:53,@deaconmill @Our4thEstate Yes because republicans spent 10+ years redistricting 2 their advantage! #uniteblue,35.37099424,-82.37302506,POINT (-82.37302506 35.37099424),isPolitical,0.9813304543495178
14030,2013-01-09 20:05:56,Congratulations to my dad. Vice President of NAACP Statesville.,35.7799526,-80.9124068,POINT (-80.9124068 35.7799526),isPolitical,0.85882169008255
14444,2013-01-09 20:14:10,"Just got an email for UNC's new strategic plan for athletics, which begs the question ""Who was just fired?""",35.9127409,-79.05559665,POINT (-79.05559665 35.9127409),isPolitical,0.7851811051368713
14538,2013-01-09 20:16:14,Good bye to the Commonwealth. (@ NC / VA State Line),36.54410473,-78.18435431,POINT (-78.18435431 36.54410473),isPolitical,0.837978720664978
14726,2013-01-09 20:20:40,"@vikmarrow then we forget what we do and say now affects those that come after us, such as our children, grandchildren, etc.",36.17591095,-77.66671753,POINT (-77.66671753 36.17591095),isPolitical,0.9147827625274658
14796,2013-01-09 20:22:18,@secupp and @krystalball1 make me watch @thecyclemsnbc every weekday!!!!!!,35.074555,-78.894023,POINT (-78.894023 35.074555),isPolitical,0.710394561290741
14841,2013-01-09 20:23:23,I just ousted Anthony D. as the mayor of Hess Trade Wilco on @foursquare!,35.7199119,-77.93518723,POINT (-77.93518723 35.7199119),isPolitical,0.9776661396026611
14849,2013-01-09 20:23:35,@Prettyboy_Papi the laws need to be stricter. When that amendment was created ppl weren't shooting up schools.,35.7988772,-78.576403,POINT (-78.576403 35.7988772),isPolitical,0.9876735806465149
15188,2013-01-09 20:30:04,I just ousted @kiowachey as the mayor of Dollar Tree on @foursquare!,36.19643057,-81.657524,POINT (-81.657524 36.19643057),isPolitical,0.989848792552948
15401,2013-01-09 20:34:13,"These voters are a joke. There are racist, drug abusers, gamblers, alcoholics, and ever felons in the HOF. It's a museum, not a church.",36.45779595,-77.64812716,POINT (-77.64812716 36.45779595),isPolitical,0.996727705001831
15448,2013-01-09 20:35:17,@marissalarkin as hard as it is to get in touch with the president... I'm in NC until Saturday!!!,35.21073882,-80.82320124,POINT (-80.82320124 35.21073882),isPolitical,0.6594585180282593
15519,2013-01-09 20:36:36,NC critic to challenge Duke Energy merger in court: A group critical of the merger that made Charlotte-based Duke...,35.22483977,-80.84079342,POINT (-80.84079342 35.22483977),isPolitical,0.948567807674408
15698,2013-01-09 20:40:46,I just ousted Jason as the mayor of State Employees' Credit Union (Operations Building) on @foursquare!,35.79683764,-78.65537895,POINT (-78.65537895 35.79683764),isPolitical,0.9944144487380981
16139,2013-01-09 20:50:06,I just ousted @andrewmedlin as the mayor of Subway At The Kangaroo on @foursquare!,34.95895386,-80.5786438,POINT (-80.5786438 34.95895386),isPolitical,0.9410879611968994
16280,2013-01-09 20:53:07,Joe Biden mentions that the President may issue an executive order on guns and the Tea Party assumes they will all be confiscated. Lovely.,35.38735821,-83.20119193,POINT (-83.20119193 35.38735821),isPolitical,0.9964798092842102
16354,2013-01-09 20:54:38,"@reedtimmerTVN going to talk w folks who were displaced by the Ellenboro, NC tornado this time last year! My newspaper is doing a follow up.",35.29143376,-81.59195802,POINT (-81.59195802 35.29143376),isPolitical,0.9864993095397949
16385,2013-01-09 20:55:04,Voter ID proposal expected to return to legislative agenda: One of the first pieces of legislation lawmakers could...,35.22483977,-80.84079342,POINT (-80.84079342 35.22483977),isPolitical,0.9889896512031555
16429,2013-01-09 20:55:50,I just ousted @mccurdyheather as the mayor of Applebee's on @foursquare!,36.14959042,-81.19794475,POINT (-81.19794475 36.14959042),isPolitical,0.9883185625076294
17620,2013-05-19 18:18:42,Raleigh police await opinion on Internet sweepstakes parlors: City Attorney Tom McCormick has told the Raleigh...,35.7719,-78.6389,POINT (-78.6389 35.7719),isPolitical,0.6852177381515503
17805,2013-05-19 18:22:05,"Weather Alert:LOUISBURG, NC - Special Statement -Read:",35.625556,-78.328611,POINT (-78.328611 35.625556),isPolitical,0.7548341155052185
18066,2013-05-19 18:27:16,@missnatalienunn you have @DeltaAssist problems too?,35.09428541,-78.89338419,POINT (-78.89338419 35.09428541),isPolitical,0.9291613698005676
18715,2013-05-19 18:39:36,Our President has REALLY gone off the DEEP END! Never have we had a President so well acknowledge his support of gays  Muslims! #seriously,35.45178985,-80.77247756,POINT (-80.77247756 35.45178985),isPolitical,0.9895502924919128
18769,2013-05-19 18:40:46,WHERE WAS THE TEA PARTY WHEN G.W. BUSH WAS PRESIDENT...,35.26167307,-81.21532226,POINT (-81.21532226 35.26167307),isPolitical,0.9742603898048401
18892,2013-05-19 18:42:52,@IvorysBff_ you're categorizing all Hispanics as Mexicans.,35.30323556,-80.81934052,POINT (-80.81934052 35.30323556),isPolitical,0.9878639578819275
19089,2013-05-19 18:47:05,"Weather Alert:LOUISBURG, NC - Special Statement -Read:",35.625556,-78.328611,POINT (-78.328611 35.625556),isPolitical,0.7548342347145081
19184,2013-05-19 18:48:43,"Obama hires IRS lady involved in IRS SCANDAL to Dir of Obama Care...?? Go figure ?? Fire her, but promote to do further damage! #seriously",35.45174144,-80.77246561,POINT (-80.77246561 35.45174144),isPolitical,0.9846413731575012
19757,2013-06-08 09:01:10,"Trolls are a good way to reveal the idiocy of the #ObamaVoter  they're so stupid,they say things like ""yo yo yo""  stupid yoyo's   BWAHAHA",34.74851995,-78.8058316,POINT (-78.8058316 34.74851995),isPolitical,0.9377239346504211
19828,2013-06-08 09:15:55,@reactionariez @Architekt101 @Sistervative @southernmax @TalkingHeadTort @TexanIndiana   Thank you.,34.74966282,-78.80589506,POINT (-78.80589506 34.74966282),isPolitical,0.9845581650733948
19981,2013-06-08 09:36:50,@BarackObama @nytimes repeating the housing crash of '08....again? Are you guys stupid?,34.74920483,-78.80586069,POINT (-78.80586069 34.74920483),isPolitical,0.9846839308738708
20003,2013-06-08 09:40:38,@BarackObama yeah. Forget about the veterans  law abiding citizens huh?   You need illegal aliens so they can vote democrat.   #NoAmnesty,34.74863304,-78.80574053,POINT (-78.80574053 34.74863304),isPolitical,0.9973447918891907
20059,2013-06-08 09:51:52,The sun coming up as we are driving through Tennessee is beautiful this morning.,35.53901008,-82.78719966,POINT (-82.78719966 35.53901008),isPolitical,0.6054103374481201
20253,2013-09-30 17:07:42,"@WhiteHouse you are not open to anything other than socialism in the US! Your I, me, my personality doesn't allow you to listen to anything!",35.14459862,-80.82930796,POINT (-80.82930796 35.14459862),isPolitical,0.9952608942985535
20434,2013-09-30 17:17:42,"So 15,000 Russian soldiers are coming tomorrow to help with an upcoming disaster and the federal government is on the brink of closing?",35.9464522,-78.57161013,POINT (-78.57161013 35.9464522),isPolitical,0.9964426159858704
20460,2013-09-30 17:19:16,@WhiteHouse I hope Netanyahu rips you a new one re Iran! When they finally get a nuke you will be back in Chicago as mayor and won't care,35.14469559,-80.82950919,POINT (-80.82950919 35.14469559),isPolitical,0.9972209930419922
20668,2013-09-30 17:31:42,One of our CEOs @LHelmsReece addresses @RhoWorld employees at our end-of-year celebration (@RussHelms sits).,35.909726,-78.977265,POINT (-78.977265 35.909726),isPolitical,0.9172183275222778
20681,2013-09-30 17:32:28,@TedNugent looks like they're at it again! Government needs a damn enema!,35.67511805,-81.99364699,POINT (-81.99364699 35.67511805),isPolitical,0.987260103225708
21123,2013-09-30 17:56:33,A big shoutout to the Obama administration for challenging the ridiculous new NC voting laws. But also lets not let the govt shutdown plz,35.91026887,-79.05026827,POINT (-79.05026827 35.91026887),isPolitical,0.9969773292541504
21249,2013-05-03 03:00:38,"Best, most accurate source of political news in all of North Carolina! == @NCPoliticalNews",35.7836497,-78.7302391,POINT (-78.7302391 35.7836497),isPolitical,0.5976488590240479
21261,2013-05-03 03:00:45,Mr.president you are the best leader we have ever had!!!keep up the great work,35.9191402,-80.5924311,POINT (-80.5924311 35.9191402),isPolitical,0.9932116270065308
21287,2013-05-03 03:01:03,@__Destinee__ my serving partner BE READY !,34.6693056,-78.9811724,POINT (-78.9811724 34.6693056),isPolitical,0.9432317614555359
21324,2013-05-03 03:01:30,"""@FoxNews: Poll shows 29 percent of voters think 'armed revolution' might be needed  via @foxnewspolitics"" @JerseyPapi",35.61399671,-78.35097972,POINT (-78.35097972 35.61399671),isPolitical,0.9932316541671753
21360,2013-05-03 03:01:59,"#freecole ... If you're not aware of this movement, please Google. Thank you #glennbeck for taking up this cause!",36.13343557,-79.91434702,POINT (-79.91434702 36.13343557),isPolitical,0.9578253030776978
22790,2013-05-03 03:20:03,The number of Americans killed in Chicago since 2001 is 2.5 times that of Americans killed in Afghanistan since 2001.,35.94444676,-77.81009831,POINT (-77.81009831 35.94444676),isPolitical,0.9774262309074402
23968,2013-05-03 03:36:24,@_ImBrandon P.R. is an American territory.,36.13202545,-79.85357486,POINT (-79.85357486 36.13202545),isPolitical,0.5919098258018494
24146,2013-05-03 03:39:03,obama will show his birth certificate #beforederrickrosecomesback,35.02569227,-80.842285,POINT (-80.842285 35.02569227),isPolitical,0.9971953630447388
24586,2013-05-03 03:44:29,Holy hell. #msnbc r bigotted asswipes. @msnbc will trash #Christianity but can't cal #Islam violent @SeldenGADawgs @coff33loveit @theblaze,35.18287798,-80.7978891,POINT (-80.7978891 35.18287798),isPolitical,0.8319591283798218
24688,2013-05-03 03:46:02,I hate the pussification of America... all in favor say yay. #PTFD @iamAMERICA51 @LosPantalones21 @LennyLaserdisc  @DuckDynastyAE,35.7897511,-78.6760312,POINT (-78.6760312 35.7897511),isPolitical,0.5843361616134644
24716,2013-05-03 03:46:30,@comcast and @msnbc continue to hate Christians and love #Islam terrorists. Eff 'em all. @SeldenGADawgs @coff33loveit @theblaze,35.18291283,-80.79802869,POINT (-80.79802869 35.18291283),isPolitical,0.9948908090591431
24829,2013-05-03 03:48:15,I think it's sad that money controls so much of our lives.,35.96331171,-78.96760723,POINT (-78.96760723 35.96331171),isPolitical,0.9865015149116516
24963,2013-05-03 03:50:21,"Remember, @msnbc is an arm of King O @SeldenGADawgs @theblaze @coff33loveit @dryheat115 @hildismom @lemarquand @nobsmina @s_davidson33",35.18284511,-80.79794722,POINT (-80.79794722 35.18284511),isPolitical,0.9891517162322998
25483,2013-05-03 03:59:24,@msnbc relies on blasphemy 2 pump ratings @SeldenGADawgs @dryheat115 @theblaze @coff33loveit @hildismom @lemarquand @nobsmina @s_davidson33,35.18297951,-80.79822348,POINT (-80.79822348 35.18297951),isPolitical,0.8988861441612244
