text,isReallyPolitical
#InSchoolThoughts that nap after school is going to feel better than Reagan loosing,0
@meghanclairee that's a grown up lunchable!,0
"Weather Alert:LOUISBURG, NC - Freeze Warning -Read:",0
"Weather Alert:CHAPEL HILL, NC - Freeze Warning -Read:",0
Weather Alert:SANFORD-LEE COUNTY - Freeze Warning -Read:,0
"Weather Alert:FAYETTEVILLE, NC - Freeze Warning -Read:",0
"Volunteering to help out for ""Home for Troops,"" hope it's not all day though.",0
"Weather Alert:LOUISBURG, NC - Freeze Warning -Read:",0
"Weather Alert:CHAPEL HILL, NC - Freeze Warning -Read:",0
Weather Alert:SANFORD-LEE COUNTY - Freeze Warning -Read:,0
"Weather Alert:FAYETTEVILLE, NC - Freeze Warning -Read:",0
If Zimmerman shot a white boy the President wouldn't be talking about this case on national tv. #ZimmermanTrial #Truth,1
Thank you Mr.Obama for putting the context around the verdict in the Trayvon Martin case.,1
?@kaytlinh1997: ?@mosesg11: Vote for us @BarackObama @MittRomney #patton @WCNChs??,1
@axomamma WOW!  Just like a Liberal.. Calling names to try to defend the fact that someone on the Liberal side messed up. SAD! #WeThePeople,1
Isabella Just said Joe Biden Is cute,1
"@axomamma Really?!?  300,000 Florida consumers get health ins. cancellation notices due 2 Obamacare.",1
@axomamma Even your fellow Libs are jumping ship. CBS POLL: 12% of Americans think #Obamacare is going well.,1
People that have not even attempted to read the ACA-ObamaCare should not attempt to debate it. Shows their ignorance. #MakeDCListen,1
Spend spend spend- Barack Obama,1
Lock congress and blow an O in the vents. Government fixed. -shit @whiteboardben says ?????,1
BIG ASS SUM BAG #OBAMA stroke of a pen makes illegal Mexicans citizens but won't help families KIA troopers @cspanwj,1
"Another Afghan KIA #CINC Obama will turn his back on --Soldier Killed in Afghanistan, Awarded Bronze Star  @cspanwj",1
"Health care exchange glitches linger  ""glitches""  ""linger"". More likely ""Obamacare Disaster Continues""? @cspanwj",1
@foxnewsradio @BretBaier @JaredHalpern   What grassroots sees is a bunch of chicken GOP members. They deserve minority status!,1
DEMOCRAT  Former New Orleans Mayor Ray Nagin asks judge to dismiss bribery indictment  #Katrina #legal? @cspanwj,1
@TeaPartyExpress @AmyKremer @Lonegan enjoy your last day in politics!!! And this ass whipping!!!,1
Obama Defense Dept Not Sure If It Would Stop A Chaplain Last Rites To A Dying Serviceman During Shutdown?  @cspanwj,1
Blessed to be representing @NCSU_AASAC with my fellow officers of @NCSU_DV at the Chancellor's Liaison meeting this afternoon.,1
@TeamCavuto ...Ask Bush # 1 what happens to GOP when establishments turns back on conservatives!,1
"@foxnation @michellemalkin @SenTedCruz   I stand with Senator Cruz, the Jesse Helms of this generation.",1
@DRUDGE_REPORT Republicans are stupid looser a!,1
Don't fort the #CINC #Obama is a BIG ASS SCUM BAG going political on our KIA Afghan Troopers  families @cspanwj,1
"9High Ranking Military Officers Fired By Obama, 1st Time In US History? (Video) -   @fishinsam",1
Have little to no faith that #congress will get it's act together  make or address any of the difficult decisions by the beginning of 2014.,1
Don't forget the #CINC #Obama is a BIG ASS SCUM BAG going political on our KIA Afghan Troopers  families @cspanwj,1
Can someone explain why UNCW is sending out emails about getting federal government jobs during the shutdown? #really #seenthenewslately,1
"@ByronYork @TPCarney GOP ""leadership"" in House  Senate makes me sick.",1
@DRUDGE_REPORT 6 months from now grassroots will remember that Cruz stood strong and the GOP leadership caved!,1
"@SpeakerBoehner Mr speaker you did a great job, but the king was holding all the cards.",1
@DavidLimbaugh @DRUDGE_REPORT    Grassroots will remember and reward Cruz. Punish Boenher and Mc Connell.,1
@SenatorSimmons idk anyone who listens to him,1
"@ByronYork @brikeilarcnn   Hey, Senate GOP leadership deserve nothing less than the finger.",1
"@ByronYork Personally, I am ashamed of John McCain. Believes he has gone over the deep end!",1
Southern pines community meeting tonight.  I'll be announcing my candidacy for Sherrif @DEFresh3451 @Jdrewbailey,1
Obama raise it to 9 dollars everybody gonna have a job,1
"WORD, Don't have to be a mathie so no excuse. @janehall8  ""Obama calls for classes that focus on science, technology, engineering and math""",1
"Obama heads for Asheville factory: After Tuesday?s State of the Union address focused on jobs, manufacturing and...",1
Mom considered asking the smiley @ChickfilA lady if they serve halal food. They do serve this with each meal:,1
It just sickens me that people think abortion is okay. We all have a right of life...not matter the circumstance.,1
"@NancyPelosi @RepGwenMoore apparently it's not working for too many people right now, especially the 15K whose applications were lost",1
@ahryyyyR they passed a new law for people over 18 who get their permits! It's crazy,1
Major Networks will now try to take hold of Benghazi story for damage control.,1
?@YourAnonNews: Fracking Our National Parks: America's Best Idea Threatened By Oil and Gas Addiction,1
"""@nycjim: US was not given an early warning by Israel of air strikes it conducted in #Syria.  Can't imagine why.",1
Poll: Mark Sanford takes slim lead over Elizabeth Colbert Busch: Republican Mark Sanford has taken a slim lead...,1
"State bill could hurt local waterways, officials say: A measure before the N.C. legislature could wipe out...",1
"Iredell Rep. Robert speaks out against I-77 tolls: State Rep. Robert Brawley, R-Iredell, said Sunday he opposes...",1
@AllenWest The GOP and Tea Party have to split NOW. The RINOs have no interest in mending fences. To continue puts hillary in in 2016,1
@RepReneeEllmers @washingtonpost Is obama planning on invoking 14th amendment and bypassing Congress totally?,1
@michellemalkin obama has mental issues.,1
"@Claym7373 remember me saying this when you see ""Hunting accident in Asheville; 43 Democrats killed, 1 Republican suffers a stubbed toe""",1
"@shalondo no negotiations, we shall take an Obama stance on this.",1
"Proud to be an #American! RT @todayshow : History has been made. One World Trade Center stands tall at 1,776 feet.",1
Hypocrisy: Conservative Christian Republicans in SC elect their ex-Governor to Congress who had a mistress yet they oppose gay marriage!,1
"""Parents have to instill the right principles in their children, but then their children have to live up to those principles.""",1
@AG_Conservative not according to #lesliemarshall ... the woman's heartless. Her best line of defense: bombastic sermons on #bush/ #wmd.,1
@keselowski perhaps you should race your car and allow people with knowledge to discuss medical and safety issues.,1
If Obama lied about healthcare cost what ELSE did he lie about ?,1
"?@gopfirecracker: TWENTY-NINE DEGREES IN OCTOBER?! What the heck, Virginia.? Totes global warming, gosh!",1
"These gun laws, abortions, unreasonable taxes, attack on Christians and Jews, failed edu. etc. only speak to ultimate conflict , their plan",1
@jimmygarner my believe is that ultimately Democrats want us abolished.,1
Access to education is a basic human right. Scholar Araki makes a strong case for providing mother-tongue based education. #rotary #peace,1
Obama's plan to solve everything?  Raise taxes again... not surprising!  #tcot,1
OBAMA CARES! BRING IT!,1
Praise the Lord Obama can't serve another term after this lol,1
"House and Senate cannot agree on spending bill, shutdown likely: House approves spending bill which includes...",1
"Hey senators, with your budget cuts, why don't you cut your salary? #governmentshutdown",1
?@HuffingtonPost: 11 reasons why a government shutdown is terrible for you,1
Obama &lt;,1
@DLoesch Funding for Syrian arms was included in the Obamacare bill. Nancy Pelosi found it when she finally got to read it.,1
wow. The goverment is shutting down tomorrow? Why?,1
"?@thedailybeast: Republicans aren't hostage takers, they're political terrorists  #shutdown?",1
The government shut down won't even effect a lot of us at this point so people should stop freaking out,1
"Race is a social construct. (For example, whom we call Latino in the US is white abroad or identifies ethnically by nationality.) Discuss.",1
"Communist, fascist, nazis  republicans all would  try to destroy the United States of America and shut it down.",1
"@kevinjohnrogers @ACSpollen absolutely not, the courts have already ruled against this, desperate partisan BS",1
?@cthagod: Most people not going to care about the government shutting down until they realize it affects their EBT.?&lt;~LOL!,1
"""North Carolina's future is worth stepping on a toe or two.."" - my man, Governor Pat McCrory. ?",1
@reskerkks i prefer the term Appalachian american,1
"800k Feds to be #furloughed. 800k. What part of that number is acceptable? Creating chaos  frustration in their wake, the GOP stands proud",1
"While the government is shut down, will Obama have to cut the lawn at the White House?",1
