text,isReallyPolitical
"They're saying approx 42,000 behind. KEEP VOTING  Rtng!  We can do this! @W_Bomerettes  White Collar,#cabletvdrama #PeoplesChoice",1
......and now we have the next manufactured crisis! #Iran to #distractThePublicFromObamaCare,1
Uranium enrichment at heart of Iran nuclear deal: By The Associated Press Iran's ability to enrich uranium - at...,1
Obama: Nuclear deal blocks Iran's path to bomb: Iran struck a historic deal Sunday with the United States and...,1
People of this great needs to make a stand. The administration lies to us every day . Jay is a payed liar,1
obama is bringing this great country down that was he plan from the bringing,1
homophobia is one of my BIGGEST pet peeves. Not liking someone sheerly because of orientation and not supporting basic human rights? No,1
Damn shame we have to reimport our own exports just to not have the GMO poisons they're feeding?,1
"A reporter who discloses names of illegally-behaving gov't employees is ""a direct attack against Americans"".",1
If Gluttony is a sin America is going hell.,1
@DavidLimbaugh GOP divide is alive and kicking as was demonstrated in VA governor's race.,1
Yup Community Organizer ass Obama?s pledge 'no one will take away? your health plan  @cspanwj,1
WE really need @SharylAttkisson working on OBAMACARE website contracts etc on full time basis  @cspanwj,1
"In Va. coal country, a deep vein of discontent",1
#NeverForget,1
I want to hear Joe Biden talk #Obamacare. I have a feeling he will spill the truth,1
Whoa! Look what popped up when I went to the #Obamacare website! #obamacareFail,1
I really think Obama  dems are trying to provoke civil disobedience,1
All 54 senate democrats voted to give themselves special treatment  be exempt from Obamacare  screw everyone else. Outrageous hypocrisy,1
Shutdown delays plan to ease in-flight electronics restrictions: If you?ve been looking forward to the day...,1
Christianity is not a white mans religion Christ belongs to all people! He belongs to this whole world!,1
Obama finds plenty of money to gift mBrotherhood multimillion $fighter jets  Bradley tanks but no $ for  our own vets.  Im beyond disgusted,1
bring your assault rifle to work day,1
"All the official citizens of the USA ,we should take buses to Capital Hill walk up those steps get your Congress person and bitch slap",1
"These voters are a joke. There are racist, drug abusers, gamblers, alcoholics, and ever felons in the HOF. It's a museum, not a church.",1
#LiberalBandNames Quran Quran,1
Our President has REALLY gone off the DEEP END! Never have we had a President so well acknowledge his support of gays  Muslims! #seriously,1
