,0
0,When your phone
1,@AirrionJean I'm on a mission lol
2,About to leave the studio.
3,"Wind 3.0 mph SSW. Barometer 29.964 in, Falling slowly. Temperature 69.4 °F. Rain today 0.00 in. Humidity 96%"
6,When your phone
7,@Andrew_15_
8,@Kristin_Nicole4 one of the best weeks ever. ??
10,When you send someone the wrong text and it was supposed to go to you! #awkward
11,Couldn't if you tired I know so
12,Go on the computer.. Research something and then write a book or a article.
13,@RandalBomb Hahaha except our everyday use and reading quizzes! Lol I'm making notecards for history -_-
14,My little brother look at me and he know I'm on
15,Momma always said.
16,Turn up with my broski @hunterj580 
17,"I'm at Plymouth, NC (Plymouth, NC) http://t.co/k0on20yMJX"
18,@Andrew_15_
19,30 minute shower in an attempt to pull it together for work.
20,Getting sick ?
21,@FREDOSANTANA300 
22,When your phone
23,Momma always said.
24,@PaoMAlva she's giving me attitude  needs to stop. ugh wow I can't deal with her hairy ass anymore
25,Couldn't if you tired I know so
26,I've yelled so much since 6:30 that my voice has run away...
27,And her moms cooking ?????@Sarahlynne_19
28,When your phone
30,@Kortnee_Madyson reunion soon ?
31,"""@DomoXVI: Mann, I'm just trying to sleep."" Lazy butt :)"
32,Everyday I get to put on my business suit is a good one! #CUFootball #TheRise
33,Me and Janole ain't twins but we got twin choppas.
34,On National TV SMH - - - ?@Lakers24__: He just snitched on his friend though. lol #BeyondScaredStraight?
35,I've yelled so much since 6:30 that my voice has run away...
37,Turn up with my broski @hunterj580 
38,I've yelled so much since 6:30 that my voice has run away...
39,Jamel sent me this video it was toooo funny????
40,"@XbatbonesX I can't watch bullshit like that anymore, not by myself at least."
41,@JoeBrunoTV I know I know. #MakingAFunny
42,3rd day of classes! http://t.co/xC4XhimpoS
43,I am not! RT ?@true_beautay: @Stoned_Lover u just mean?
44,Couldn't if you tired I know so
45,Go on the computer.. Research something and then write a book or a article.
46,Turn up with my broski @hunterj580 
47,Miami doin it big !
48,Couldn't if you tired I know so
49,@MichaelKnott96 when we gonna chill over this break?
50,Turn up with my broski @hunterj580 
52,When your phone
53,I've yelled so much since 6:30 that my voice has run away...
54,"Happy birthday, Little Michael! Love you! @Mikeknizzy_28"
55,Miami doin it big !
56,Momma always said.
57,Couldn't if you tired I know so
58,@Kenjamin_Flocka Barbie what's up??
60,Go on the computer.. Research something and then write a book or a article.
61,Omgg this man just bought my food at subway!!! Yaaaaaaaaaaaaaaaayyyyyyy
62,"@twalkhotspitter I know thats  rite ,"
63,Go on the computer.. Research something and then write a book or a article.
64,?@JoeDugganmyass: A woman's loyalty is tested when her man has nothing. A man's loyalty is tested when he has everything.? That's deep lol
65,@HelloSweetie28 @andersbutt @Joannalavery  I need this in my life.
66,I hate when people think I run on their time.
67,@lowluhh_ shes a good teacher tho
68,Go on the computer.. Research something and then write a book or a article.
69,@TrevorJavier keep me posted bro
70,Momma always said.
71,When you realize you still have to pack more...&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;
72,Couldn't if you tired I know so
73,@Hello_Amy don't you put that evil on me Ricky Bobby.
74,Couldn't if you tired I know so
75,Couldn't if you tired I know so
76,Miami doin it big !
77,Momma always said.
78,Miami doin it big !
79,Save 50% - $5.00 for $10.00 at SweetFrog Premium Frozen Yogurt. http://t.co/gzNS6AIeOF
80,??????? ?????..
81,When your phone
82,@LaylahJaysMom awww thank you it will be next wk when i go to babies r us !!
83,Miami doin it big !
84,When your phone
85,@JaredErickson17 oh goodness! not good!
86,Couldn't if you tired I know so
87,Momma always said.
89,Go on the computer.. Research something and then write a book or a article.
90,Our view. http://t.co/PMqgWqnoaB
91,I already can't wait for the weekend
92,Miami doin it big !
93,Im tryna erase you from my mind
94,I'm not a Gang Member.........
95,Go on the computer.. Research something and then write a book or a article.
96,I've yelled so much since 6:30 that my voice has run away...
97,@Andrew_15_
98,?@ChuckieXO: Never let a girl go to bed mad or sad. Fix that shit.? SUBTWEET
99,Go on the computer.. Research something and then write a book or a article.
100,Couldn't if you tired I know so
102,This doesnt count as snow
104,Miami doin it big !
105,@jordanat11 don't you'll be addicted.
106,@FidlerMark oh i will! as soon as i finish my drink
107,When your phone
108,?@blackrebel92: @ambitiousbajan we can see since dont have to work till monday? I heard club stir be poppin on saturdays
109,@fornaye BEWARE OF MY CREEPY VINES
110,"""@___taayy: @PacBlowing_Nunk hell wrong with you muthafucka ?"" Get that ass taylor!!"
111,I've yelled so much since 6:30 that my voice has run away...
112,@Andrew_15_
